"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","WNT","p53"
"Progen",-0.231005417020676,0.580845124452831,0.328438860033671,0.172011362291815,0.337456606052305,-0.499082379122497,0.434842069767931,-0.236987308572528,0.281907774551011,-0.35044192606766,0.20242841246941,-0.279930664230487,0.406056189049145,0.326474927706111
"Ground",0.0398433775199325,-0.634149744341027,-0.162239402449919,-0.208495024451709,-0.176968049809382,0.399301245563587,-0.227185411752515,0.415203366918649,-0.204793399436501,0.147474772726124,0.0951748184849518,-0.0535973817812057,-0.176189373679022,-0.454254262140045
"Prolif",0.0243801086902105,0.436841195691743,0.25447741093317,-0.327577971988498,-0.893447814265194,0.874076276123968,0.442974112509041,0.578863460609101,-0.174836297201917,-0.765984940213726,-0.915557180263896,0.61986754739983,-0.113434584037457,-1.01228231596718
"TR Diff Myo",0.158198343023372,-0.378745974954057,-0.162293315863053,0.503957234571921,0.175015273206557,-0.132912096296328,-0.588229686642392,-0.61653438173584,-0.044580703195361,0.723426710006835,-0.200780225208141,0.121813100251861,-0.0861060731036732,0.428683450447688
"Diff Myo",0.287504705162439,0.803716277194796,-0.0343299570624952,-0.444453362784655,-1.28357323940252,-0.352567680078324,0.419164604226702,0.0596023576039125,-0.573733568975286,-0.786654626996615,-0.0879945453331392,0.572427354691714,-0.377565448635971,0.631692553216714
"Peri",-0.11191217055977,0.647433518448742,-0.589991714531682,-0.594076045620602,1.42923676035545,-0.274851779585861,-0.247471007291262,0.181617037957858,0.84627297623897,0.464094250652535,0.402947085765946,-0.47697610647177,-0.2045526900627,0.252329662917963
"SM Vasc",0.446393285920064,0.65395767183628,-0.584917727515202,-0.394117909286851,1.67488972274327,-0.235244505191672,0.564482123008973,-0.33305990910929,0.882895303053453,0.379203645619774,0.915431910119141,0.344226241742504,-0.282336724410528,0.613771801621844
