"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000732669726182669,0.216833399607569,0.643,0.598,1,"Progen","Ndufb11"
0.000737164105535423,0.172525431944264,0.477,0.409,1,"Progen","Samd4"
0.000743459840292461,0.480733865974347,0.46,0.445,1,"Progen","Slc38a10"
0.000752551278950999,0.501024064172993,0.448,0.43,1,"Progen","Trmt112"
0.000774099200158218,1.52279150168006,0.046,0.022,1,"Progen","Nrxn2"
0.000787993837257684,0.247850808100889,0.709,0.666,1,"Progen","Tmed10"
0.00080681591306834,0.523631480714641,0.142,0.097,1,"Progen","Hif3a"
0.000820982723242972,1.74564333839898,0.032,0.012,1,"Progen","Gbp9"
0.000844168357069465,1.82940228271415,0.054,0.028,1,"Progen","Ntn4"
0.000847559459850296,1.00501528671764,0.066,0.036,1,"Progen","Cacng8"
0.000868062935092997,2.23346333451544,0.022,0.007,1,"Progen","Gm17268"
0.000869978369288305,0.226734900197997,0.579,0.528,1,"Progen","1810058I24Rik"
0.000880771777008012,1.40135208387129,0.126,0.087,1,"Progen","Lpar4"
0.000889830753652801,0.639413525517827,0.289,0.247,1,"Progen","Tpp1"
0.000896055916315284,0.196918200704194,0.594,0.547,1,"Progen","Nav1"
0.000920275896445084,0.295224318585627,0.424,0.381,1,"Progen","Polg2"
0.000953283275040131,0.778879974193813,0.047,0.023,1,"Progen","Sh3rf3"
0.000958229056405894,1.12830605153456,0.063,0.034,1,"Progen","Prdm1"
0.000962719535561928,0.305023583279287,0.487,0.452,1,"Progen","Mpc2"
0.000965565144663539,0.526063179591918,0.191,0.142,1,"Progen","Pced1b"
0.00100110026794103,0.768430887581453,0.106,0.069,1,"Progen","Mid1ip1"
0.0010078297659544,0.33308960795802,0.485,0.447,1,"Progen","Pura"
0.0010127067407891,0.418956597258593,0.396,0.357,1,"Progen","3830403N18Rik"
0.00101669548861898,1.17999528992839,0.075,0.044,1,"Progen","Pard6b"
0.0010226105506607,1.0518642488218,0.12,0.082,1,"Progen","Endog"
0.00104120520775328,1.86190837893589,0.031,0.012,1,"Progen","Gm14418"
0.00106171081833534,0.344158393353318,0.208,0.153,1,"Progen","Col7a1"
0.00106276483370551,0.154971201756237,0.358,0.309,1,"Progen","Lgals9"
0.00106369844765446,0.58550909077897,0.293,0.249,1,"Progen","Grina"
0.00107475358379621,1.33568016654927,0.046,0.022,1,"Progen","Kctd14"
0.00107927676897283,0.6588575295841,0.028,0.01,1,"Progen","Vwa3b"
0.00107961615288325,0.397239690497271,0.413,0.383,1,"Progen","Ikbip"
0.00108133857851829,0.617735594312449,0.195,0.149,1,"Progen","Fads2"
0.00110745266859912,0.305180886655608,0.229,0.176,1,"Progen","Arsb"
0.00111276700119272,0.382233491080216,0.481,0.439,1,"Progen","Ccdc80"
0.00112378644914894,0.599937493987827,0.149,0.106,1,"Progen","Tgm2"
0.00112763416880623,0.260727263697281,0.629,0.613,1,"Progen","Lima1"
0.00113364751481175,0.231021757357252,0.577,0.542,1,"Progen","Ndufa3"
