"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.15996652372102e-07,2.66257612031884,0.259,0.066,0.00697366791848568,"Uni Fibro (Col15a1)","Gm17167"
2.28370373841521e-07,0.227577979257581,0.722,0.312,0.00737316588984734,"Uni Fibro (Col15a1)","Cd55"
2.2896939096779e-07,0.802676210302725,0.926,0.773,0.00739250575678608,"Uni Fibro (Col15a1)","Pdgfra"
2.36629424371424e-07,2.50521236637136,0.37,0.141,0.0076398175952558,"Uni Fibro (Col15a1)","Pqlc3"
2.41127158170907e-07,1.12450031870728,0.796,0.668,0.0077850314287059,"Uni Fibro (Col15a1)","Esyt2"
2.49016568207131e-07,1.77341228847794,0.5,0.238,0.00803974892113543,"Uni Fibro (Col15a1)","Parp3"
2.66704264250522e-07,0.782102100639393,0.944,0.802,0.00861081387559234,"Uni Fibro (Col15a1)","Myl12b"
2.75610636663521e-07,0.749441696958378,0.87,0.609,0.00889836501531844,"Uni Fibro (Col15a1)","Prss23"
2.84344072449489e-07,0.861364998968825,0.741,0.389,0.0091803327231042,"Uni Fibro (Col15a1)","Camk2d"
2.92322087844938e-07,1.40860369403328,0.204,0.042,0.00943791092816168,"Uni Fibro (Col15a1)","Umod"
3.05259952465014e-07,0.922581896493959,0.833,0.661,0.00985562282528543,"Uni Fibro (Col15a1)","Smim14"
3.28224111614433e-07,0.91771766596489,0.87,0.722,0.0105970436675836,"Uni Fibro (Col15a1)","Pard3b"
3.33679255796621e-07,4.53426056647963,0.093,0.007,0.0107731684526497,"Uni Fibro (Col15a1)","Stk32a"
3.54375813644274e-07,3.83064134262723,0.074,0.003,0.011441377519319,"Uni Fibro (Col15a1)","Gm42517"
3.87220326993466e-07,1.11778113916576,0.611,0.274,0.012501795477311,"Uni Fibro (Col15a1)","Medag"
3.95301665503251e-07,0.321109560729421,1,0.997,0.012762709572438,"Uni Fibro (Col15a1)","mt-Cytb"
4.29379244409666e-07,2.48545537878535,0.204,0.042,0.0138629382850105,"Uni Fibro (Col15a1)","Tom1l1"
4.39373305754591e-07,0.750240184116766,0.759,0.378,0.0141856065495927,"Uni Fibro (Col15a1)","Tnxb"
4.54237888857566e-07,1.40130943354985,0.685,0.521,0.0146655244796554,"Uni Fibro (Col15a1)","Rab34"
4.64524872371181e-07,0.916505101933208,0.833,0.745,0.0149976500293759,"Uni Fibro (Col15a1)","Il6st"
4.81985211532874e-07,1.21134152508304,0.685,0.49,0.0155613745395504,"Uni Fibro (Col15a1)","Slc39a1"
5.15002701842442e-07,1.46914934947589,0.685,0.559,0.0166273772316851,"Uni Fibro (Col15a1)","Copz2"
5.29875804266982e-07,1.19182628936916,0.759,0.53,0.0171075702165638,"Uni Fibro (Col15a1)","Vcam1"
5.41931096853288e-07,1.17965848543101,0.704,0.488,0.0174967873930053,"Uni Fibro (Col15a1)","Dag1"
5.83127775382646e-07,0.850645893663699,0.87,0.8,0.0188268633560041,"Uni Fibro (Col15a1)","Smdt1"
6.0673674993483e-07,0.80610726522231,0.944,0.804,0.0195891027083959,"Uni Fibro (Col15a1)","Mtch1"
6.21686699439862e-07,1.49432720435143,0.389,0.139,0.0200717767781154,"Uni Fibro (Col15a1)","Thsd7a"
6.4471103822897e-07,0.79147437198933,0.537,0.233,0.0208151405802605,"Uni Fibro (Col15a1)","Spon1"
6.51355319764043e-07,1.09391553062704,0.778,0.573,0.0210296578539019,"Uni Fibro (Col15a1)","Slc29a1"
6.55198507057711e-07,2.807975308041,0.204,0.043,0.0211537389988653,"Uni Fibro (Col15a1)","Smtnl2"
6.61697166633953e-07,0.935700124830373,0.926,0.788,0.0213635547219438,"Uni Fibro (Col15a1)","Rpn2"
7.04611474006472e-07,3.05424896360159,0.185,0.036,0.022749086049773,"Uni Fibro (Col15a1)","Bmp2"
7.30872035591164e-07,0.756382895209375,0.407,0.146,0.0235969345410963,"Uni Fibro (Col15a1)","Cilp"
7.46248700798269e-07,3.19544932527753,0.204,0.043,0.0240933855539729,"Uni Fibro (Col15a1)","C1qtnf3"
7.92143142950384e-07,0.856222107902459,0.87,0.769,0.0255751335132961,"Uni Fibro (Col15a1)","Ctsz"
8.02170614981059e-07,2.61853635369599,0.167,0.03,0.0258988804752785,"Uni Fibro (Col15a1)","Pigz"
8.31795591035227e-07,1.44110122212915,0.648,0.484,0.0268553524521633,"Uni Fibro (Col15a1)","Arap1"
8.35789580782057e-07,1.41197286656584,0.685,0.538,0.0269843024051295,"Uni Fibro (Col15a1)","Cyp1b1"
8.49244610417478e-07,3.02608954215367,0.296,0.097,0.0274187114919387,"Uni Fibro (Col15a1)","Gng8"
8.54274547055708e-07,1.83118718000623,0.63,0.458,0.0275811080262406,"Uni Fibro (Col15a1)","Hoxa10"
8.58556930745745e-07,0.589869202305612,0.815,0.49,0.0277193690660571,"Uni Fibro (Col15a1)","Tspo"
8.70068562108245e-07,3.17781254304445,0.167,0.03,0.0280910335962268,"Uni Fibro (Col15a1)","Zfp469"
8.96487129604328e-07,0.925612009792639,0.889,0.8,0.0289439834664053,"Uni Fibro (Col15a1)","Col5a1"
8.96950413686173e-07,1.4778464605044,0.519,0.262,0.0289589410562718,"Uni Fibro (Col15a1)","Fign"
9.02374092687193e-07,1.9679809894451,0.463,0.215,0.0291340499564987,"Uni Fibro (Col15a1)","Gucy1a2"
9.58083040892322e-07,1.64876073981907,0.389,0.146,0.0309326690582495,"Uni Fibro (Col15a1)","Epdr1"
1.01808117789062e-06,0.404765833112746,0.389,0.134,0.0328697689093766,"Uni Fibro (Col15a1)","Arhgap15"
1.02847824941973e-06,2.62763748916704,0.278,0.085,0.0332054487607655,"Uni Fibro (Col15a1)","Gpr27"
1.16853858668778e-06,1.37335536048157,0.574,0.326,0.0377274368098018,"Uni Fibro (Col15a1)","Smpdl3a"
1.20974216790522e-06,0.282391751042933,0.648,0.398,0.0390577356329878,"Uni Fibro (Col15a1)","Chpt1"
1.4567724951949e-06,2.49670030502975,0.259,0.075,0.0470333567798625,"Uni Fibro (Col15a1)","Foxs1"
1.62350746083671e-06,0.682741173674509,0.963,0.83,0.0524165618805739,"Uni Fibro (Col15a1)","Pcolce"
1.72501102126243e-06,1.06357156628971,0.833,0.727,0.0556937058324787,"Uni Fibro (Col15a1)","Lrrc58"
1.90743770062352e-06,1.17849074059874,0.815,0.684,0.0615835336023308,"Uni Fibro (Col15a1)","Efemp2"
1.98345151942253e-06,1.18810359886585,0.63,0.422,0.0640377157560759,"Uni Fibro (Col15a1)","Pea15a"
2.01882288789892e-06,4.19615164369378,0.056,0.002,0.0651797157587044,"Uni Fibro (Col15a1)","Cyb5r2"
2.05280796675813e-06,1.1564512771954,0.648,0.359,0.0662769580147529,"Uni Fibro (Col15a1)","Ehd2"
2.07690821222811e-06,0.490638932487885,0.963,0.891,0.0670550585399966,"Uni Fibro (Col15a1)","Pdia3"
2.12177134339563e-06,4.32026001105726,0.13,0.019,0.0685035095928712,"Uni Fibro (Col15a1)","Cib2"
2.19468750624356e-06,0.649859452020314,0.944,0.851,0.0708576808265796,"Uni Fibro (Col15a1)","Selenow"
2.38174602750262e-06,1.29112390037952,0.759,0.658,0.0768970522439495,"Uni Fibro (Col15a1)","Snx18"
2.56067130839314e-06,0.420557947975447,0.741,0.417,0.0826738338627808,"Uni Fibro (Col15a1)","Meg3"
