"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pih1d2",17.3504453729899,0.433876960125407,0.463854360823203,0.935373248093226,0.349595978597117,0.518397899978917
"Dlat",1506.55375014618,-0.338492794907263,0.11258806868277,-3.0064712794835,0.00264299019637048,0.0111060897459442
"Sdhd",1141.94888642459,-0.157739249685461,0.137201909431581,-1.14968698569112,0.250272816476428,0.408765362350996
"Ccnd2",17597.2490811846,-0.309780724563491,0.172704191465279,-1.79370704286451,0.0728599405984198,0.16378047737908
"Gpr107",1026.27859802287,-0.145725515409562,0.130641664302493,-1.11545972862182,0.264653466546715,0.426064497283316
"Drp2",29.8074208233407,-0.219293292707485,0.474828488316478,-0.461836848679819,0.644198323784465,0.775841970620721
"Gmpr",122.991543978876,0.4916069724202,0.248785404903803,1.97602818626072,0.0481515849480404,0.11863605224008
"Mid2",807.070479019603,-1.16615278169873,0.153086876013601,-7.61758820916251,2.58459283605612e-14,1.21909519810755e-12
"Trim25",778.758453029755,0.660858873222741,0.172921393845868,3.82172996946689,0.00013251875350687,0.000867171135611062
"Dgke",299.386219148136,0.475537695450472,0.146854416255414,3.23815726878381,0.00120304471811975,0.00566688892690725
"Scpep1",2785.30612221298,-0.336116305200397,0.149892451053098,-2.24238314097173,0.0249366204578868,0.0701018274312114
"Mnt",372.470509116881,0.397907547114526,0.190971961837007,2.08359145126307,0.0371973452788282,0.0963283318373177
