"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.92082310109093e-12,0.672204741823486,0.66,0.394,2.55731694641822e-07,"Prolif","Bex3"
8.38346131491824e-12,2.1233335681044,0.133,0.033,2.7066843201345e-07,"Prolif","Zfhx2"
8.66317779904218e-12,-0.995526459396096,0.581,0.681,2.79699358419876e-07,"Prolif","Lamp1"
8.6836826786845e-12,1.26524165602333,0.256,0.097,2.80361378964008e-07,"Prolif","Nectin1"
8.68752616964203e-12,2.26447945282207,0.138,0.036,2.80485469913062e-07,"Prolif","Troap"
8.76888029378704e-12,-2.42080356312373,0.094,0.313,2.83112069165208e-07,"Prolif","Efnb1"
8.80980572786389e-12,1.03070609817855,0.443,0.225,2.84433387729814e-07,"Prolif","Dlat"
8.81189333629634e-12,0.728484489991941,0.66,0.421,2.84500788255664e-07,"Prolif","Psmc5"
9.46067490130829e-12,-1.64850739823539,0.202,0.432,3.05447349863639e-07,"Prolif","Adamts10"
9.47590657774734e-12,0.945269992689897,0.473,0.246,3.05939119769151e-07,"Prolif","Mtr"
9.71877470944379e-12,0.940057886843386,0.207,0.069,3.13780360269102e-07,"Prolif","Fam20c"
9.73562827281279e-12,-3.18125382890678,0.069,0.282,3.14324494416034e-07,"Prolif","Dclre1a"
9.8270541661031e-12,1.53008508118859,0.222,0.079,3.17276270806805e-07,"Prolif","Rfc5"
9.9353398739293e-12,-1.50970955307905,0.236,0.457,3.20772383169681e-07,"Prolif","Pkd2"
1.03150244856747e-11,1.23857242208754,0.163,0.046,3.33030880544495e-07,"Prolif","Traf3ip3"
1.04118659409989e-11,1.29959864134434,0.305,0.132,3.36157503771091e-07,"Prolif","Eef1e1"
1.05357105584427e-11,0.989101432472381,0.222,0.076,3.4015595108988e-07,"Prolif","Smyd1"
1.06622815394115e-11,1.38239992559117,0.286,0.119,3.4424242178144e-07,"Prolif","Cenpq"
1.06812436952061e-11,0.700010341751402,0.719,0.485,3.44854633943426e-07,"Prolif","Tomm6"
1.08145768482242e-11,0.736037524451903,0.69,0.45,3.49159428121768e-07,"Prolif","Vdac3"
1.09413062221678e-11,-3.34029585751208,0.069,0.283,3.5325101268891e-07,"Prolif","Abcc9"
1.10910918538785e-11,1.41185456929934,0.291,0.125,3.58086991594321e-07,"Prolif","Psat1"
1.13155735622385e-11,-4.44581624328578,0.015,0.212,3.65334608030432e-07,"Prolif","Arap3"
1.14197443582834e-11,0.843626162676323,0.429,0.21,3.68697866351539e-07,"Prolif","Serinc2"
1.14629196347866e-11,-1.3986628054104,0.488,0.643,3.70091823328719e-07,"Prolif","Maml2"
1.17307553936456e-11,0.878065190362326,0.389,0.186,3.78739168639243e-07,"Prolif","Prkar2a"
1.24018994033108e-11,0.507544130179535,0.626,0.376,4.00407724135293e-07,"Prolif","Flnc"
1.27684543520707e-11,1.01416909766475,0.36,0.164,4.12242317210956e-07,"Prolif","Bcl7a"
1.29657579800747e-11,0.657253996298562,0.69,0.44,4.18612462144692e-07,"Prolif","Ndufv2"
1.31903025140902e-11,0.872730694435407,0.552,0.316,4.25862106969918e-07,"Prolif","Mrpl18"
1.33100894693485e-11,-2.85028063506288,0.089,0.302,4.29729548607385e-07,"Prolif","Shroom3"
1.34683230400958e-11,1.01763478526523,0.325,0.139,4.34838277672534e-07,"Prolif","Gm11361"
1.38714964975248e-11,1.16762758878194,0.291,0.121,4.47855135919086e-07,"Prolif","Igfbp3"
1.43901516220472e-11,2.80135717891173,0.123,0.03,4.64600435269415e-07,"Prolif","Ccnb3"
1.46625167528284e-11,0.404288688337083,0.946,0.829,4.73394015881819e-07,"Prolif","Eif1"
1.49336264379029e-11,0.76063503605207,0.616,0.395,4.82147063174133e-07,"Prolif","Mxra7"
1.52974830619412e-11,0.752738246622028,0.764,0.555,4.93894538137833e-07,"Prolif","Ppp1ca"
1.56020043226516e-11,0.870470990606047,0.512,0.293,5.0372631156113e-07,"Prolif","Mrpl13"
1.57366468970014e-11,0.569120536233454,0.818,0.633,5.08073381716586e-07,"Prolif","Eif3j1"
1.59169159477335e-11,1.94563317950792,0.187,0.061,5.13893548288525e-07,"Prolif","Igf2bp1"
1.60333736928232e-11,-5.10203386444683,0.015,0.208,5.1765350304649e-07,"Prolif","Tnxb"
1.66396236699053e-11,0.824996697055703,0.571,0.33,5.37226889806562e-07,"Prolif","Fkbp2"
1.74129555009417e-11,1.09327602027913,0.394,0.193,5.62194681303405e-07,"Prolif","Ruvbl2"
1.77457631322705e-11,4.68911756238595,0.025,0,5.72939708488484e-07,"Prolif","Dlx1"
1.77457631322705e-11,4.77508705655767,0.025,0,5.72939708488484e-07,"Prolif","4930570B17Rik"
1.80804752988871e-11,0.714896707567196,0.66,0.418,5.83746225499869e-07,"Prolif","Lsm7"
1.93882188950008e-11,2.26070987083196,0.089,0.016,6.25968035243997e-07,"Prolif","Tarsl2"
1.95538152303681e-11,0.981824133438806,0.512,0.289,6.31314478527665e-07,"Prolif","Ebna1bp2"
1.98812368409658e-11,0.764288958082599,0.744,0.57,6.41885612647422e-07,"Prolif","Hdac4"
2.00017393672342e-11,5.39387093085865,0.02,0,6.45776157210522e-07,"Prolif","Try5"
2.00128171419622e-11,0.536607667619611,0.882,0.735,6.46133814245391e-07,"Prolif","Nap1l1"
2.01071818987217e-11,-5.4640724356265,0.005,0.193,6.49180474782128e-07,"Prolif","2700033N17Rik"
2.03769892531409e-11,-1.02686494137852,0.552,0.686,6.57891475026908e-07,"Prolif","Psap"
2.04016568493503e-11,1.47899289933729,0.207,0.071,6.58687893038123e-07,"Prolif","Knstrn"
2.12300462196625e-11,-4.45501875634988,0.02,0.214,6.85433272248025e-07,"Prolif","Gnb4"
2.15718466736448e-11,-3.42900855847831,0.03,0.231,6.96468641705296e-07,"Prolif","Gabra3"
2.16239895215543e-11,0.62606089921359,0.67,0.413,6.98152125692901e-07,"Prolif","Hsph1"
2.16605555323689e-11,1.34166125669088,0.236,0.089,6.99332695918061e-07,"Prolif","Haus8"
2.16746401105015e-11,-2.41434350849071,0.128,0.339,6.99787430607652e-07,"Prolif","Pcdh18"
2.21004367766343e-11,-4.16731564556496,0.01,0.202,7.13534701770414e-07,"Prolif","Hic1"
2.21553834095688e-11,0.725100272592296,0.67,0.412,7.15308708761338e-07,"Prolif","Rngtt"
2.2710678191262e-11,-3.70012060011359,0.03,0.228,7.33236956083086e-07,"Prolif","Tgfb1i1"
2.28031815107152e-11,0.581364776172438,0.872,0.674,7.3622351825495e-07,"Prolif","Ndufa2"
2.30457771878508e-11,-2.31076495758102,0.118,0.344,7.44055962286952e-07,"Prolif","Pdgfrb"
2.33325530894252e-11,0.609530473712568,0.847,0.648,7.53314809045182e-07,"Prolif","Tuba1a"
2.35828886626991e-11,0.669005543465464,0.759,0.552,7.61397143363903e-07,"Prolif","Cox6a1"
2.36761205839902e-11,0.776029129826425,0.714,0.518,7.64407229174708e-07,"Prolif","Psip1"
2.46130128922158e-11,1.22585639937876,0.345,0.161,7.94655734238079e-07,"Prolif","Carhsp1"
2.50757363971612e-11,1.0473703087918,0.433,0.227,8.09595225318747e-07,"Prolif","Lap3"
2.57969866335566e-11,-2.56513079208083,0.113,0.326,8.32881510451009e-07,"Prolif","Efnb2"
2.67648062900322e-11,-1.85874166199249,0.192,0.41,8.64128535879979e-07,"Prolif","Mxra8"
2.70770641822091e-11,0.913412986026328,0.498,0.274,8.74210094186802e-07,"Prolif","Larp7"
2.75107314212024e-11,1.59462023772728,0.163,0.048,8.8821147466494e-07,"Prolif","Slfn9"
2.79206699026011e-11,-3.01287851317796,0.079,0.284,9.01446748475379e-07,"Prolif","Tgfb1"
2.84601650661975e-11,0.363043480695597,0.616,0.359,9.18864889327252e-07,"Prolif","Csrp1"
2.88850177288076e-11,-0.939240545909298,0.616,0.706,9.32581682392283e-07,"Prolif","Mprip"
2.93328299454113e-11,1.85847876089013,0.163,0.049,9.47039747617549e-07,"Prolif","Fbxo5"
3.06244027062628e-11,0.981624576523236,0.325,0.145,9.88739465774402e-07,"Prolif","Tiam1"
3.0728309441506e-11,0.553437547024415,0.719,0.471,9.92094198628464e-07,"Prolif","Psmc3"
3.08313623798363e-11,-3.63000869562248,0.034,0.235,9.95421365795395e-07,"Prolif","Tmem108"
3.08644948933299e-11,2.64155018894819,0.089,0.017,9.9649108212605e-07,"Prolif","Galnt5"
3.09680991389773e-11,0.694957927427112,0.591,0.346,9.99836048801022e-07,"Prolif","Mrpl23"
3.11796273572732e-11,0.734044546990276,0.724,0.549,1.00666544885692e-06,"Prolif","Smc1a"
3.13560036897575e-11,0.800873566695599,0.729,0.494,1.01235993512751e-06,"Prolif","Klf4"
3.26051106542738e-11,0.32452614809299,0.995,0.997,1.05268860258388e-06,"Prolif","mt-Co3"
3.28833499290885e-11,1.13342890567259,0.118,0.028,1.06167183581055e-06,"Prolif","Rgs6"
3.3490481660223e-11,-4.66324409208005,0.015,0.205,1.08127369088196e-06,"Prolif","Wt1"
3.36839760414393e-11,1.0876051283118,0.281,0.114,1.08752085047391e-06,"Prolif","Chaf1a"
3.41205870488213e-11,2.57498985955851,0.069,0.01,1.10161727345825e-06,"Prolif","Mchr1"
3.4433685556328e-11,0.46231637993642,0.842,0.623,1.11172597187161e-06,"Prolif","Enah"
3.49962774503802e-11,-1.46340073366734,0.803,0.755,1.12988981376298e-06,"Prolif","Fbln1"
3.56785363755405e-11,-1.8585126950011,0.177,0.398,1.1519172254207e-06,"Prolif","9530026P05Rik"
3.59555281246659e-11,0.91794772273589,0.429,0.228,1.16086018103296e-06,"Prolif","Eif2b2"
3.6144441205867e-11,1.83554002020824,0.118,0.028,1.16695942877262e-06,"Prolif","Ntn4"
